                                              Training Size,Model,Accuracy,Precision,Recall,F1 Score,Training Time (s),Prediction Time (s)
100000,Decision Tree,0.987618,0.9893770067551547,0.9857958526692586,0.9875831832458213,1.1157205998897552,0.08252139994874597
100000,Random Forest,0.990246,0.994121967657706,0.9863043591417051,0.9901977336404455,3.0093654999509454,1.8111171000637114
100000,Logistic Regression,0.989694,0.9946450094238127,0.9846687300551349,0.9896317281593249,0.16520020039752126,0.040471500251442194
100000,Linear SVM,0.990418,0.9942137288764789,0.9865586123779284,0.9903713782133089,0.15536700002849102,0.06937219994142652
100000,XGBoost,0.989858,0.9933323117744075,0.9863163711056212,0.9898119090766628,1.562992800027132,1.6708968002349138
500000,Decision Tree,0.987979,0.9903653288643803,0.9855215794931752,0.9879375171213804,2.9975474001839757,0.09322849987074733
500000,Random Forest,0.990497,0.9941030196814743,0.9868288815660398,0.9904525950194354,26.81922750035301,1.7957695997320116
500000,Logistic Regression,0.989636,0.9945823626480295,0.9846146762175126,0.9895734196648283,0.7592331003397703,0.0433912998996675
500000,Linear SVM,0.990443,0.9941502183582285,0.986672726035131,0.9903973586456427,0.8085515997372568,0.06617049966007471
500000,XGBoost,0.990367,0.9937269826423675,0.9869449972172284,0.990324378889006,8.47475349996239,1.459040299989283
1000000,Decision Tree,0.988486,0.9915824508808407,0.9853133721186301,0.9884379713329169,6.758285199757665,0.10393960028886795
1000000,Random Forest,0.990501,0.994128976957596,0.9868108636201657,0.9904564027701449,64.47175080003217,1.9902455997653306
1000000,Logistic Regression,0.989635,0.99523532782686,0.9839600241840873,0.9895655587937725,1.6380651001818478,0.03833899972960353
1000000,Linear SVM,0.990434,0.9941162232486839,0.9866887419870191,0.9903885570979591,1.676752499770373,0.07911110017448664
1000000,XGBoost,0.990467,0.9938078623216888,0.987065116856389,0.9904250136850088,18.222948000300676,1.5433675996027887
2000000,Decision Tree,0.988893,0.991834893243344,0.985879936416671,0.9888484495559762,19.04456639988348,0.10478140041232109
2000000,Random Forest,0.990598,0.9942417458300559,0.9868929453735921,0.990553715819763,151.30376810021698,2.4345387001521885
2000000,Logistic Regression,0.989572,0.9950943472627146,0.9839740381419895,0.9895029504077824,3.914774900302291,0.04926510015502572
2000000,Linear SVM,0.990441,0.9940963741208599,0.9867227758847812,0.9903958508950577,4.100948699750006,0.09152879985049367
2000000,XGBoost,0.99056,0.9939284720794378,0.9871311826579273,0.9905181661490496,41.08120009955019,1.6702362997457385
4000000,Decision Tree,0.989392,0.9928764416485201,0.9858358925489787,0.9893436414448769,54.632063400000334,0.11224350007250905
4000000,Random Forest,0.990587,0.9943293572262871,0.9867828357043615,0.9905417232290977,332.57040649978444,2.379598000086844
4000000,Logistic Regression,0.989542,0.9953829198423021,0.9836256911884237,0.989469380850344,8.605077600106597,0.04255330003798008
4000000,Linear SVM,0.99044,0.9941382217793503,0.986678732017089,0.9903944311815251,8.153464599978179,0.08943150006234646
4000000,XGBoost,0.99061,0.9940485790780943,0.9871111627180672,0.9905677245413945,79.69100240012631,3.246830000076443
8000000,Decision Tree,0.98958,0.9929705517119035,0.9861201756949922,0.9895335078418335,113.69541059993207,0.11245929962024093
8000000,Random Forest,0.990579,0.9943312601749845,0.9867648177584875,0.9905335896294525,783.9978398000821,3.005210699979216
8000000,Logistic Regression,0.989685,0.9952999925075279,0.9839960600758355,0.989615747419541,16.334974699653685,0.04350800020620227
8000000,Linear SVM,0.99044,0.9940943690777292,0.9867227758847812,0.9903948558223651,15.67296400014311,0.17249849997460842
8000000,XGBoost,0.990614,0.9940366750532224,0.9871311826579273,0.9905718940789566,160.2857289998792,1.6953296000137925
